"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 08 14:31:08 IST 2021","Sat May 08 14:31:08 IST 2021","6","","","","","","Verify Login with Invalid Credentials -- @1.2 credentials",""
"skipped","Sat May 08 14:31:08 IST 2021","Sat May 08 14:31:08 IST 2021","0","","","","","","Verify Login with Valid Credentials",""
"skipped","Sat May 08 14:31:08 IST 2021","Sat May 08 14:31:08 IST 2021","1","","","","","","Verify login with existing email and password",""
"skipped","Sat May 08 14:31:08 IST 2021","Sat May 08 14:31:08 IST 2021","9","","","","","","Verify Login with Invalid Credentials -- @1.1 credentials",""
